visibility,parent-FQN,method-name,param-list,return-type,tags
public,org.jitsi.videobridge.Conference,getLocalEndpoints,[],java.util.List,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Endpoint,getTransceiver,[],org.jitsi.nlj.Transceiver,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.cc.vp8.VP8AdaptiveTrackProjectionContext,getPayloadType,[],org.jitsi.nlj.format.PayloadType,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.cc.GenericAdaptiveTrackProjectionContext,getPayloadType,[],org.jitsi.nlj.format.PayloadType,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8Frame,getSSRCAsLong,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Conference,getAudioLevelListener,[],org.jitsi.nlj.AudioLevelListener,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Endpoint,getDtlsTransport,[],org.jitsi.videobridge.DtlsTransport,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.shim.ChannelShim,getEndpoint,[],org.jitsi.videobridge.Endpoint,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8Frame,isTL0,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8FrameProjection,isFullyProjected,[long],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
protected,org.jitsi.videobridge.rest.PublicRESTBundleActivator,getDefaultTlsPort,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.IceTransport,isConnected,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.rest.ColibriWebSocketService,getColibriWebSocketUrl,"[java.lang.String, java.lang.String, java.lang.String]",java.lang.String,"{switches=false, ifs=true, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=true, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.datachannel.DataChannel,isReady,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.rest.ssi.HttpServletResponseWrapper$ByteArrayServletOutputStream,isReady,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.cc.vp8.VP8QualityFilter,getTemporalLayerId,[int],int,"{switches=false, ifs=false, static=true, returns_primitives=true, local_variables=false, conditionals=true, multiple_statements=false, loops=false, parameters=true, returns=true}"
,org.jitsi.videobridge.cc.AdaptiveTrackProjection,getIdealIndex,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.shim.ChannelShim,getSourceGroups,[],java.util.Collection,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.util.config.JvbConfig,getLegacyConfig,[],com.typesafe.config.Config,"{switches=false, ifs=false, static=true, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.cc.BitrateController,changeIsLargerThanThreshold,"[long, long]",boolean,"{switches=false, ifs=true, static=true, returns_primitives=true, local_variables=true, conditionals=false, multiple_statements=true, loops=false, parameters=true, returns=true}"
protected,org.jitsi.videobridge.octo.OctoEndpointMessageTransport,getId,[java.lang.Object],java.lang.String,"{switches=false, ifs=true, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=true, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.octo.OctoRelay,getId,[],java.lang.String,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.shim.ChannelShim,getId,[],java.lang.String,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.shim.ChannelShim,getSources,[],java.util.Collection,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.xmpp.ComponentImpl,getDescription,[],java.lang.String,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.octo.OctoRelayService,getRelay,[],org.jitsi.videobridge.octo.OctoRelay,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.AdaptiveTrackProjection,getTargetIndex,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8Frame,getTimestamp,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8FrameProjection,getTimestamp,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.shim.VideobridgeShim,getOctoChannelId,[org.jitsi.utils.MediaType],java.lang.String,"{switches=false, ifs=false, static=true, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.Conference,getLastKnowFocus,[],org.jxmpp.jid.Jid,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.AbstractEndpoint,getMessageTransport,[],org.jitsi.videobridge.AbstractEndpointMessageTransport,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Endpoint,getMessageTransport,[],org.jitsi.videobridge.EndpointMessageTransport,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.cc.vp8.VP8QualityFilter,getSpatialLayerId,[int],int,"{switches=false, ifs=false, static=true, returns_primitives=true, local_variables=false, conditionals=true, multiple_statements=false, loops=false, parameters=true, returns=true}"
protected,org.jitsi.videobridge.version.VersionActivator,getCurrentVersion,[],org.jitsi.utils.version.Version,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8Frame,matchesSSRC,[org.jitsi.videobridge.cc.vp8.VP8Frame],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.util.ExpireableImpl,shouldExpire,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.cc.BitrateController$TrackBitrateAllocation,getIdealBitrate,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
protected,org.jitsi.videobridge.rest.PublicRESTBundleActivator,getDefaultPort,[],int,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
,org.jitsi.videobridge.cc.vp8.VP8Frame,nextTL0PICIDX,[int],int,"{switches=false, ifs=false, static=true, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.Conference,getEventAdmin,[],org.jitsi.eventadmin.EventAdmin,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.rest.root.colibri.debug.DebugFeatures,getValue,[],java.lang.String,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Conference,getVideobridge,[],org.jitsi.videobridge.Videobridge,"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.cc.AdaptiveTrackProjection,getTargetSsrc,[],long,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.cc.BitrateController,getAvailableBandwidth,[long],long,"{switches=false, ifs=true, static=false, returns_primitives=true, local_variables=true, conditionals=false, multiple_statements=true, loops=false, parameters=true, returns=true}"
public,org.jitsi.videobridge.shim.ChannelShim,isExpired,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.AbstractEndpoint,isExpired,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
public,org.jitsi.videobridge.Conference,isExpired,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
private,org.jitsi.videobridge.cc.vp8.VP8Frame,endingSequenceNumberIsKnown,[],boolean,"{switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
protected,org.jitsi.videobridge.osgi.BundleConfig,getBundlesImpl,[],java.lang.String[][],"{switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false, parameters=false, returns=true}"
