visibility,parent-FQN,method-name,param-list,return-type,tags
public,org.languagetool.languagemodel.bert.grpc.BertLmProto$ScoreRequest$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.languagemodel.bert.grpc.BertLmProto$Prediction$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.languagemodel.bert.grpc.BertLmProto$BertLmResponse$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.languagemodel.bert.grpc.BertLmProto$BatchScoreRequest$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.languagemodel.bert.grpc.BertLmProto$BatchBertLmResponse$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.ml.MLServerProto$MatchRequest$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.ml.MLServerProto$MatchResponse$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.ml.MLServerProto$Match$Builder,getDescriptorForType,[],com.google.protobuf.Descriptors$Descriptor,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
protected,org.languagetool.openoffice.KhmerDetector,isInAlphabet,[int],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
protected,org.languagetool.openoffice.TamilDetector,isInAlphabet,[int],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
