visibility,parent-FQN,method-name,param-list,return-type,tags
public,com.turn.ttorrent.common.protocol.AnnounceRequestMessage$RequestEvent,getId,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.TrackerMessage$Type,getId,[],int,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.LoadedTorrentImpl,getEventDispatcher,[],com.turn.ttorrent.client.EventDispatcher,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.TorrentMetadataImpl,getPiecesHashes,[],byte[],"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.CommunicationManager,getTorrentLoader,[],com.turn.ttorrent.client.TorrentLoader,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.AnnounceableInformationImpl,getDownloaded,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.http.HTTPAnnounceRequestMessage,getDownloaded,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.udp.UDPAnnounceRequestMessage,getDownloaded,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.tracker.TrackedPeer,getDownloaded,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.CommunicationManager,isRunning,[],boolean,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.MockTimeService,now,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.PeerMessage$RequestMessage,getSendTime,[],long,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=true, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.Peer,getAddress,[],java.net.InetSocketAddress,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.PeerUID,getAddress,[],java.net.InetSocketAddress,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.client.peer.SharingPeer,getTorrent,[],com.turn.ttorrent.client.SharedTorrent,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.http.HTTPAnnounceResponseMessage,getHexInfoHash,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.udp.UDPAnnounceResponseMessage,getHexInfoHash,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.ImmutableTorrentHash,getHexInfoHash,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.Peer,getHexInfoHash,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.TorrentMetadataImpl,getHexInfoHash,[],java.lang.String,"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
public,com.turn.ttorrent.common.protocol.udp.UDPAnnounceRequestMessage,getPeerId,[],byte[],"{parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false, multiple_statements=false, loops=false}"
