schemaTuple,visited,timesVisited
stockquantityallocated,True,5
productpricinginfoonsale,True,34
productpricinginfodiscount,True,1
productpricinginfodiscountlocalcurrency,False,0
productpricinginfopricerange,True,47
productpricinginfopricerangeundiscounted,True,52
productpricinginfopricerangelocalcurrency,True,1
taxedmoneyrangestart,True,100
taxedmoneyrangestop,True,79
marginstart,True,1
marginstop,True,1
collectionseotitle,True,4
collectionseodescription,True,4
collectionid,True,28
collectionname,True,46
collectiondescription,True,1
collectiondescriptionjson,True,1
collectionpublicationdate,True,2
collectionslug,True,4
collectionprivatemetadata,True,4
collectionmetadata,True,4
collectionproducts,True,17
collectionbackgroundimage,True,5
collectiontranslation,True,3
collectionispublished,True,9
collectiontranslationseotitle,True,1
collectiontranslationseodescription,True,1
collectiontranslationid,True,1
collectiontranslationname,True,6
collectiontranslationdescription,False,0
collectiontranslationdescriptionjson,True,1
collectiontranslationlanguage,True,3
collectiontranslatablecontentseotitle,False,0
collectiontranslatablecontentseodescription,False,0
collectiontranslatablecontentid,True,3
collectiontranslatablecontentname,True,3
collectiontranslatablecontentdescription,False,0
collectiontranslatablecontentdescriptionjson,False,0
collectiontranslatablecontenttranslation,True,3
collectiontranslatablecontentcollection,True,3
categorytranslatablecontentseotitle,False,0
categorytranslatablecontentseodescription,False,0
categorytranslatablecontentid,True,1
categorytranslatablecontentname,True,1
categorytranslatablecontentdescription,False,0
categorytranslatablecontentdescriptionjson,False,0
categorytranslatablecontenttranslation,True,1
categorytranslatablecontentcategory,True,1
attributetranslatablecontentid,True,1
attributetranslatablecontentname,True,1
attributetranslatablecontenttranslation,True,1
attributetranslatablecontentattribute,True,1
attributevaluetranslatablecontentid,True,1
attributevaluetranslatablecontentname,True,1
attributevaluetranslatablecontenttranslation,True,1
attributevaluetranslatablecontentattributevalue,True,1
productvarianttranslatablecontentid,True,3
productvarianttranslatablecontentname,True,3
productvarianttranslatablecontenttranslation,True,3
productvarianttranslatablecontentproductvariant,True,3
pagetranslatablecontentseotitle,False,0
pagetranslatablecontentseodescription,False,0
pagetranslatablecontentid,True,3
pagetranslatablecontenttitle,True,3
pagetranslatablecontentcontent,False,0
pagetranslatablecontentcontentjson,False,0
pagetranslatablecontenttranslation,True,3
pagetranslatablecontentpage,True,3
pagetranslationseotitle,False,0
pagetranslationseodescription,False,0
pagetranslationid,False,0
pagetranslationtitle,True,5
pagetranslationcontent,False,0
pagetranslationcontentjson,False,0
pagetranslationlanguage,True,2
pageseotitle,False,0
pageseodescription,False,0
pageid,True,11
pagetitle,True,18
pagecontent,False,0
pagecontentjson,False,0
pagepublicationdate,False,0
pageslug,True,6
pagecreated,False,0
pageprivatemetadata,False,0
pagemetadata,False,0
pagetranslation,True,2
pageispublished,True,2
shippingmethodtranslatablecontentid,True,2
shippingmethodtranslatablecontentname,True,2
shippingmethodtranslatablecontenttranslation,True,2
shippingmethodtranslatablecontentshippingmethod,True,2
saletranslatablecontentid,True,2
saletranslatablecontentname,True,2
saletranslatablecontenttranslation,True,2
saletranslatablecontentsale,True,2
saletranslationid,False,0
saletranslationname,True,3
saletranslationlanguage,True,1
saleid,True,14
salename,True,37
saletype,True,1
salevalue,True,1
salestartdate,True,13
