,schemaTuple,visitedTest,timesVisitedTest,visitedProd,timesVisitedProd,id
575,shopdomain,True,2,True,2,3e407d14-2113-5973-9374-cfad8da056c6
576,shoplanguages,True,2,True,1,dcca3886-7f6c-5248-b362-cadae731e3ac
577,shopname,True,3,True,2,3e407d14-2113-5973-9374-cfad8da056c6
578,shoppermissions,True,2,True,1,dcca3886-7f6c-5248-b362-cadae731e3ac
579,shopphoneprefixes,False,0,False,0,
580,shopheadertext,False,0,False,0,
581,shopincludetaxesinprices,True,1,True,2,8cb61222-0e81-5b62-a801-6475f5cb7288
582,shopdisplaygrossprices,True,1,True,2,8cb61222-0e81-5b62-a801-6475f5cb7288
583,shopchargetaxesonshipping,True,1,True,1,8cb61222-0e81-5b62-a801-6475f5cb7288
584,shoptrackinventorybydefault,True,1,True,1,dcca3886-7f6c-5248-b362-cadae731e3ac
585,shopdefaultweightunit,True,1,True,2,7e689c17-66f1-5175-81f0-26dca2f412ca
586,shoptranslation,True,1,False,0,
587,shopautomaticfulfillmentdigitalproducts,True,1,False,0,
588,shopdefaultdigitalmaxdownloads,True,1,False,0,
589,shopdefaultdigitalurlvaliddays,True,1,False,0,
590,shopcompanyaddress,True,1,True,1,3e407d14-2113-5973-9374-cfad8da056c6
591,shopcustomersetpasswordurl,False,0,True,1,3e407d14-2113-5973-9374-cfad8da056c6
592,shopstaffnotificationrecipients,True,1,False,0,
593,paymentgatewayname,True,29,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
594,paymentgatewayid,True,29,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
595,paymentgatewayconfig,True,26,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
596,paymentgatewaycurrencies,True,19,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
597,gatewayconfiglinefield,True,26,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
598,gatewayconfiglinevalue,True,26,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
599,geolocalizationcountry,True,2,False,0,
600,authorizationkeyname,True,1,True,1,3e407d14-2113-5973-9374-cfad8da056c6
601,authorizationkeykey,True,1,True,1,3e407d14-2113-5973-9374-cfad8da056c6
602,domainhost,True,2,True,2,3e407d14-2113-5973-9374-cfad8da056c6
603,domainsslenabled,True,1,False,0,
604,domainurl,True,2,True,1,dcca3886-7f6c-5248-b362-cadae731e3ac
605,navigationmain,False,0,False,0,
606,navigationsecondary,False,0,False,0,
607,shoptranslationid,False,0,False,0,
608,shoptranslationheadertext,True,1,False,0,
609,shoptranslationdescription,False,0,False,0,
610,shoptranslationlanguage,True,1,False,0,
611,staffnotificationrecipientuser,True,1,False,0,
612,staffnotificationrecipientactive,True,1,False,0,
613,staffnotificationrecipientid,False,0,False,0,
614,staffnotificationrecipientemail,True,1,False,0,
615,userid,True,82,True,66,e56b5d25-c288-56c1-b957-e3ad1a162c87
616,userlastlogin,True,5,True,7,e4cc9dea-eb43-53ae-a758-052f7f1cad97
617,useremail,True,70,True,52,e56b5d25-c288-56c1-b957-e3ad1a162c87
618,userfirstname,True,97,True,62,e56b5d25-c288-56c1-b957-e3ad1a162c87
619,userlastname,True,51,True,62,e56b5d25-c288-56c1-b957-e3ad1a162c87
620,userisstaff,True,10,True,1,d6f254aa-3f13-57f7-ba3d-a9803751676b
621,userisactive,True,6,True,18,ce3b0ea1-76e5-57fe-a7eb-ad52289c7598
622,usernote,True,1,True,7,e4cc9dea-eb43-53ae-a758-052f7f1cad97
623,userdatejoined,True,5,True,7,e4cc9dea-eb43-53ae-a758-052f7f1cad97
624,userdefaultshippingaddress,True,6,True,12,d6f254aa-3f13-57f7-ba3d-a9803751676b
625,userdefaultbillingaddress,True,6,True,12,d6f254aa-3f13-57f7-ba3d-a9803751676b
626,userprivatemetadata,True,5,False,0,
627,usermetadata,True,5,False,0,
628,useraddresses,True,6,True,5,d6f254aa-3f13-57f7-ba3d-a9803751676b
629,usercheckout,True,2,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
630,usergiftcards,True,1,False,0,
631,userorders,True,7,True,21,e56b5d25-c288-56c1-b957-e3ad1a162c87
632,useruserpermissions,True,11,True,9,a6ed9b4a-ef69-5b41-ad93-25d8b4e35ec5
633,userpermissiongroups,True,5,False,0,
634,usereditablegroups,True,4,True,9,a6ed9b4a-ef69-5b41-ad93-25d8b4e35ec5
635,useravatar,True,12,True,11,ce3b0ea1-76e5-57fe-a7eb-ad52289c7598
636,userevents,True,12,False,0,
637,userstoredpaymentsources,True,2,False,0,
638,checkoutcreated,False,0,False,0,
639,checkoutlastchange,False,0,False,0,
640,checkoutuser,True,4,False,0,
641,checkoutquantity,False,0,False,0,
642,checkoutbillingaddress,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
643,checkoutshippingaddress,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
644,checkoutshippingmethod,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
645,checkoutnote,False,0,False,0,
646,checkoutdiscount,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
647,checkoutdiscountname,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
648,checkouttranslateddiscountname,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
649,checkoutvouchercode,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
650,checkoutgiftcards,True,3,False,0,
651,checkoutid,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
652,checkoutprivatemetadata,True,5,False,0,
653,checkoutmetadata,True,5,False,0,
654,checkoutavailableshippingmethods,True,29,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
655,checkoutavailablepaymentgateways,True,26,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
656,checkoutemail,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
657,checkoutisshippingrequired,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
658,checkoutlines,True,26,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
659,checkoutshippingprice,True,23,True,1,ae3b2f4d-21fe-53aa-9ce0-b29d621d849a
